id,purpose,go_with,weather,time,viettel_no_0,viettel_no_1,viettel_no_2,to_hanoi,to_other,score,direction
11156,Travel,Al?!%one,&&!!Sunny,13:00,1,0,0,0,1,0,0
4297,Travel,F!ri?end%(s),Sun!~ny,9  AM  ,1,1,0,0,1,0,0
13301,Travel,Frie~nd(s),!&~S!unny,15:00,1,1,0,0,1,0,0
9920,Travel,?Friend(s),Su%n&ny,2 PM  ,1,1,0,0,1,30,0
8424,Travel,?Fa! mily,Sun%ny,10AM,1,1,0,0,1,0,0
6771,Travel,Fami~!ly,!%Sunny,8  AM,1,1,0,0,1,0,0
15308,Travel,Fami?ly,%S&unny,14:00,1,0,0,0,1,29,0
14139,Travel,Family,?S~u!nny,1 PM  ,1,1,0,0,1,0,0
17824,Travel,Fami ly,Sunny,16:00,1,1,0,0,1,25,0
16372,Visit,~~A!~lone,Sunn?y,3  PM  ,1,0,0,1,0,0,1
1573,Visit,A?lone,~%Sunny,4  PM  ,1,1,0,0,1,0,0
11835,Work,Alone,&!Sunny,7:00,1,1,1,0,1,0,0
19253,Work,Al~one,Sunny,6:00,1,1,0,0,1,32,0
10399,Work,A l? one,%%~S~unny,7  AM  ,1,0,0,1,0,0,1
3502,Work,A&lone,?~S&?unny,7  AM  ,1,1,0,0,1,0,0
3051,Travel,?A%&!lone,%?~Sunny,14:00,1,0,0,0,1,13,0
17620,Travel,Fr &iend~(s),!?~S?unny,9  AM  ,1,0,0,0,1,0,0
9606,Travel,Fr?i&%end(s),Sun%&ny,14:00,1,1,0,0,1,0,0
15884,Travel,?Fri&end?(s),?Sun?ny,15:00,1,1,0,0,1,15,0
7022,Travel,F~ri%end(s),&!~Sunny,11:00,1,1,0,0,1,0,0
17244,Visit, A%lone,Su%!nny,3  PM,1,0,0,1,0,0,1
13688,Work,&%Alone,%Sunny,7:00,1,1,1,0,1,0,0
4979,Work,A lone,Sun%!ny,7 AM,1,0,0,1,0,0,1
14896,Work,~% &Alone,&Sunny,6AM,1,0,0,0,1,15,0
16583,Travel,Al!one,Su?n%ny,2PM  ,1,0,0,0,1,9,0
2492,Travel,Fri?end(s),!Sun~ny,10AM ,1,0,0,0,1,0,0
18157,Travel,F&ri&end(s),S!unny,10:00,1,1,0,0,1,12,0
11738,Travel,F%riend(&s),Sunny,11AM ,1,0,0,0,1,0,0
14840,Travel,Friend&!?(s),~%?Sunny,11AM ,1,1,0,0,1,11,0
3838,Travel,Friend(s),Su!!nny,2  PM  ,1,1,0,0,1,9,0
13931,Travel,Friend(s),S%u~nny,3 PM  ,1,1,0,0,1,8,0
11761,Travel,Fr!i!end(s),Sunny,11:00,1,0,0,0,1,0,0
5723,Travel,Frien?d(s),&S!unny,12:00,1,1,0,0,1,0,0
16237,Travel,?~?~Alone,?&!Sunny,10AM,1,0,0,0,1,8,0
19985,Work,~ ? Alone,S&&%&unny,7:00,1,0,0,1,0,0,1
5658,Travel,Alone,%&S&%unny,11AM,1,0,0,0,1,0,0
9408,Travel,Friend(s),Sunn&y,10  AM,1,0,0,0,1,0,0
5989,Travel,Fr?iend&(s),%S~??unny,8:00,1,1,0,0,1,0,0
15606,Travel,Fr~i!end~(s),!Sunny,2  PM  ,1,1,0,0,1,0,0
13667,Travel, Friend(s),Sun?ny,14:00,1,1,0,0,1,0,0
16399,Travel,F &ri&!end(s),S!&u&nny,16:00,1,1,0,0,1,0,0
12202,Travel,Friend(s),S~!unny,12:00,1,1,0,0,1,7,0
1171,Travel,Famil~y,&%%%Sunny,10AM ,1,1,0,0,1,0,0
10882,Travel,F~amily,Sunny,9:00,1,1,0,0,1,8,0
6308,Travel,Fami!?ly,?Sun%ny,8AM ,1,1,0,0,1,0,0
15590,Travel,F?a mily,~%S&unny,11:00,1,0,0,0,1,0,0
6695,Travel,%F?am?ily,%S?u%nny,2PM ,1,1,0,0,1,0,0
11834,Visit,Alone,Sunny,3 PM  ,1,0,0,1,0,0,1
18151,Visit,A?lone,&~S&%unny,5  PM,1,0,0,0,1,8,0
8159,Work,Al!~one,Sun?ny,6 AM,1,1,1,0,1,0,0
19448,Work,Alone,&!!S%unny,6:00,1,1,0,0,1,7,0
19309,Work,A%& lone,S%un?ny,6AM ,1,0,0,0,1,0,0
2182,Travel,F&ri%e&n%d(s),!?S%unny,8:00,1,0,0,0,1,7,0
7708,Travel,F?r%ie~nd(s),Su?&?nny,10  AM  ,1,0,0,0,1,8,0
2231,Travel,Frie!nd(s),Su?n%ny,9:00,1,1,0,0,1,6,0
19843,Travel,Fr??i!e~nd(s),Sunny,1PM,1,0,0,0,1,0,0
19423,Travel,F ?rie~ nd(s),Sunn?y,11:00,1,1,0,0,1,0,0
15869,Travel,Friend(s),%!%Sunny,14:00,1,1,0,0,1,0,0
17580,Travel,Frien%d(s),S%u~nny,13:00,1,1,0,0,1,0,0
8695,Travel,F ri!e%nd(s),Su?nny,5  PM  ,1,0,0,0,1,0,0
6663,Travel,Friend~?(s),Sunny,6 PM  ,1,1,0,0,1,0,0
6679,Travel,Frie%!n?~d(s),!S!u!nny,13:00,1,0,0,0,1,0,0
13708,Travel,Frie!? n%d(s),!S!?unny,11:00,1,1,0,0,1,0,0
2869,Travel,!Al!~one,Sunny,10 AM,1,0,0,0,1,4,0
6967,Visit,?A~!lone,~?%S%unny,17:00,1,0,0,1,0,0,1
12345,Visit,Alone,Sunny,15:00,1,1,0,0,1,7,0
8871,Visit,Alone,Sunny,15:00,1,0,0,0,1,7,0
19527,Work,!Alone,Sunn?y,6  AM  ,1,1,1,0,1,0,0
8033,Work,Alo%ne,Sunny,6  AM  ,1,1,0,0,1,0,0
7320,Work,Alone,Sunny,6:00,1,0,0,1,0,0,1
7527,Work,?Alone,S~??%unny,7AM  ,1,0,0,0,1,8,0
18413,Work,!! A!lone,Sunny,6:00,1,1,0,0,1,0,0
19892,Travel,&%Al&one,!?Su?nny,11:00,1,0,0,0,1,0,0
17634,Travel,F&r~ ie%nd(s),Sunny,8:00,1,0,0,0,1,0,0
13819,Travel,Fr%ien d(s),S!&!unny,8:00,1,0,0,0,1,28,0
3463,Travel,&?F&rien d(s),S%u&nny,12 AM,1,0,0,0,1,0,0
5226,Travel,%Fri~en d(s),Sun&ny,12:00,1,1,0,0,1,0,0
15209,Travel,Friend(s),Su!nny,12 AM  ,1,1,0,0,1,27,0
19885,Travel, Fr%&i~end(s),Su&n&ny,2PM  ,1,1,0,0,1,34,0
6297,Visit,Alone,S!unny,15:00,1,0,0,1,0,0,1
10278,Work,&Al?&one,!Sunny,7  AM ,1,1,1,0,1,0,0
15570,Work,Alone,Su%nny,7 AM  ,1,1,1,0,1,25,0
13571,Work, ?!A~lone,Sunn!y,7:00,1,0,0,1,0,0,1
1260,Work,A!l!&one,S&?u&nny,6:00,1,0,0,0,1,0,0
16512,Work,Alone,%&~!Sunny,7:00,1,1,0,0,1,0,0
5916,Travel,%!? Alone,?!Su~nny,11  AM,1,0,0,0,1,0,0
17871,Travel,Frie~nd(~s),Su!nny,8:00,1,0,0,0,1,0,0
8028,Travel,~Fr i~%end(s),Sunny,10AM,1,1,0,0,1,0,0
7632,Travel,F%riend(s),??%S~unny,2PM,1,1,0,0,1,0,0
6197,Travel,Fr%ie?nd(s),&S!~&unny,14:00,1,1,0,0,1,29,0
19048,Travel,F%ri~e&n?d(s),S%unny,3  PM ,1,1,0,0,1,0,0
10226,Travel,Friend(s),!!?S&unny,12:00,1,1,0,0,1,24,0
16198,Travel,&%F ?amily,&%Su%nny,9 AM,1,1,0,0,1,0,0
18775,Travel,F%a~~mily,&S!?~unny,9:00,1,1,0,0,1,30,0
11361,Travel,Family,%&Sunny,1  PM ,1,0,0,0,1,0,0
2293,Travel, !Family,Sunny,13:00,1,1,0,0,1,0,0
8242,Work,Alone,~S?~&unny,6  AM  ,1,0,0,0,1,20,0
14796,Travel,Alo& ne,S?u%%nny,11  AM ,1,0,0,0,1,0,0
9034,Travel,F riend(s),?&%%Sunny,8:00,1,0,0,0,1,76,0
1287,Travel,Fr?ie?&n%d(s),Su~n&ny,14:00,1,0,0,0,1,0,0
7579,Travel,Friend( s),S!u~nny,12:00,1,1,0,0,1,0,0
4102,Travel,Friend(%%s),Sunny,12AM ,1,1,0,0,1,0,0
9342,Travel,Fr iend(&s),S~~!unny,11:00,1,1,0,0,1,74,0
11504,Visit,~%%A~lone,Su!%nny,15:00,1,0,0,1,0,0,1
9807,Visit,&A~lone,!~&Sunny,17:00,1,1,0,0,1,0,0
9126,Work,Al! ~one,!S!!~unny,6:00,1,1,1,0,1,0,0
15735,Work,Alo~&ne,Sunny,6:00,1,1,0,0,1,79,0
16335,Work,Al&&?one,Su%!nny,7  AM  ,1,0,0,0,1,0,0
11037,Travel,A !l one,S~!%%unny,13:00,1,0,0,0,1,0,0
4230,Travel,?%Frie nd(s),Sunny,8:00,1,0,0,0,1,0,0
1685,Travel,Fri end(s),S~~?&unny,10  AM ,1,1,0,0,1,0,0
9490,Travel,F%riend~?(s),%~S~?unny,1  PM,1,0,0,0,1,11,0
9149,Travel,?Fr!ie nd(s),Sunny,12 AM ,1,1,0,0,1,0,0
18194,Travel,Fr!iend(~s),Su%n~ny,12:00,1,1,0,0,1,8,0
1979,Travel, Frien%d!(s),S!%unny,1  PM  ,1,1,0,0,1,0,0
17700,Travel,Friend(s),Sun~ny,15:00,1,0,0,0,1,0,0
13156,Travel,F %!%riend(s),Sunny,17:00,1,1,0,0,1,0,0
8254,Travel,Friend(%s),?S%?unny,11:00,1,0,0,0,1,0,0
3055,Travel, Friend(s),Sunny,12  AM,1,1,0,0,1,10,0
14227,Visit,Alone,Sunny,16:00,1,0,0,0,1,9,0
3000,Work,Alone,Sunny,7AM,1,1,1,0,1,0,0
19189,Work,Alon~e,~S!!%unny,7:00,1,1,0,0,1,0,0
9388,Work,?A lone,Sunn!y,6AM  ,1,0,0,1,0,0,1
19299,Work,Al%one,S%u~?nny,6 AM ,1,0,0,0,1,6,0
4011,Travel,%A!&lone,~?S%&unny,11AM,1,0,0,0,1,0,0
1823,Travel,Fr?iend(s),Sun&ny,10:00,1,1,0,0,1,0,0
8284,Travel,Friend(& s),?S%%unny,12AM,1,1,0,0,1,0,0
16630,Travel,&Frien%d(s),%S%?%unny,6 PM ,1,1,0,0,1,14,0
3192,Travel,!F ri&e nd(s),Su?nny,2PM,1,1,0,0,1,17,0
14639,Visit,Alone,S%unny,5PM ,1,0,0,1,0,20,1
1559,Work,Alone,Sunny,7AM,1,1,0,0,1,0,0
3653,Work,Al one,S?&?%unny,7  AM  ,1,0,0,1,0,26,1
8690,Work,Alone,S%~unny,6:00,1,0,0,0,1,0,0
18414,Travel,Al~one,&S~?~unny,12  AM ,1,0,0,0,1,0,0
9656,Travel,Fri?e~n?d(s),~S%unny,8:00,1,0,0,0,1,10,0
11403,Travel,%F rie&nd(s),?&%S~unny,10  AM  ,1,1,0,0,1,11,0
16059,Travel,Frie&nd(s),S&un~ny,2PM ,1,1,0,0,1,9,0
5081,Travel,F%ri~end!(s),S!u&nny,1  PM  ,1,1,0,0,1,0,0
10995,Travel,&Frie%n~~d(s),Su&&nny,6 PM,1,1,0,0,1,9,0
7332,Travel,Fri!e~nd!(s),Sun?ny,12  AM  ,1,1,0,0,1,0,0
11565,Travel,Family,Sun&%ny,10AM  ,1,0,0,0,1,0,0
9605,Travel,&Family,Sunny,8:00,1,0,0,0,1,13,0
12914,Travel,F~~a%mily,Sunn!y,10 AM,1,1,0,0,1,0,0
5290,Travel,Fa~& mily,Sunn&y,3PM  ,1,0,0,0,1,0,0
4651,Travel,Fam!i&ly,Sunny,18:00,1,1,0,0,1,9,0
19626,Visit, A %lone,!S?u~nny,5 PM  ,1,0,0,1,0,9,1
11374,Visit,~Al~one,Sunn%y,6  PM  ,1,1,0,0,1,12,0
13274,Work,%Alone,Sunny,7 AM  ,1,1,1,0,1,12,0
12837,Work,A!l!one,S??u~nny,6  AM,1,1,1,0,1,0,0
11981,Travel,A lone,Sun?ny,2  PM,1,0,0,0,1,9,0
8547,Travel, Fri e~nd(s),!%~Sunny,8  AM ,1,0,0,0,1,0,0
11396,Travel,Frie?nd(s),Sunny,8:00,1,0,0,0,1,10,0
12281,Travel,Friend(s),!~Sunny,9:00,1,1,0,0,1,0,0
1237,Travel,Fri en?d&(s),Sunny,11:00,1,0,0,0,1,0,0
13364,Travel,Fr%?ie%nd(s),Sunny,11AM ,1,1,0,0,1,0,0
13644,Travel,Friend(s&),S&?~~unny,14:00,1,1,0,0,1,0,0
13098,Travel,Friend(s),Sunny,11  AM,1,1,0,0,1,0,0
5096,Travel,~Friend(&s),&S%!unny,16:00,1,1,0,0,1,10,0
4311,Travel,Friend(s),?S&!!unny,12 AM,1,1,0,0,1,14,0
