id,mobile_plan,accept
11156.0,DATASILVER,1.0
4297.0,SOCIALMEDIAGOLD,1.0
13301.0,DATASILVER,1.0
9920.0,SOCIALMEDIAGOLD,1.0
8424.0,DATASILVER,1.0
6771.0,SOCIALMEDIAGOLD,0.0
15308.0,DATASILVER,1.0
14139.0,DATASILVER,1.0
17824.0,SOCIALMEDIA,1.0
16372.0,DATACALL,1.0
1573.0,DATAGOLD,1.0
11835.0,SOCIALMEDIA,1.0
19253.0,DATAGOLD,1.0
10399.0,SOCIALMEDIAGOLD,1.0
3502.0,SOCIALMEDIA,1.0
3051.0,DATASILVER,0.0
17620.0,DATACALL,1.0
9606.0,DATASILVER,1.0
15884.0,DATASILVER,0.0
7022.0,SOCIALMEDIAGOLD,1.0
17244.0,DATACALL,0.0
13688.0,DATACALL,1.0
4979.0,SOCIALMEDIAGOLD,1.0
14896.0,DATASILVER,1.0
16583.0,DATASILVER,1.0
2492.0,SOCIALMEDIA,1.0
18157.0,SOCIALMEDIAGOLD,0.0
11738.0,SOCIALMEDIA,1.0
14840.0,SOCIALMEDIA,1.0
3838.0,DATASILVER,1.0
13931.0,DATASILVER,1.0
11761.0,SOCIALMEDIA,1.0
5723.0,SOCIALMEDIAGOLD,1.0
16237.0,SOCIALMEDIA,1.0
19985.0,SOCIALMEDIAGOLD,1.0
5658.0,DATASILVER,0.0
9408.0,SOCIALMEDIA,1.0
5989.0,SOCIALMEDIAGOLD,1.0
15606.0,SOCIALMEDIA,0.0
13667.0,SOCIALMEDIA,1.0
16399.0,DATASILVER,1.0
12202.0,SOCIALMEDIAGOLD,1.0
1171.0,DATASILVER,1.0
10882.0,SOCIALMEDIAGOLD,0.0
6308.0,DATACALL,1.0
15590.0,DATASILVER,1.0
6695.0,DATASILVER,1.0
11834.0,DATACALL,0.0
18151.0,SOCIALMEDIA,1.0
8159.0,DATACALL,1.0
19448.0,DATAGOLD,0.0
19309.0,DATASILVER,1.0
2182.0,SOCIALMEDIA,1.0
7708.0,DATACALL,0.0
2231.0,SOCIALMEDIAGOLD,1.0
19843.0,SOCIALMEDIA,0.0
19423.0,SOCIALMEDIA,1.0
15869.0,SOCIALMEDIA,1.0
17580.0,DATASILVER,1.0
8695.0,SOCIALMEDIA,0.0
6663.0,DATASILVER,1.0
6679.0,SOCIALMEDIA,0.0
13708.0,SOCIALMEDIAGOLD,1.0
2869.0,SOCIALMEDIA,1.0
6967.0,DATACALL,1.0
12345.0,DATAGOLD,1.0
8871.0,SOCIALMEDIA,1.0
19527.0,SOCIALMEDIA,1.0
8033.0,DATAGOLD,0.0
7320.0,SOCIALMEDIAGOLD,1.0
7527.0,DATASILVER,0.0
18413.0,SOCIALMEDIA,1.0
19892.0,DATASILVER,1.0
17634.0,SOCIALMEDIA,1.0
13819.0,DATACALL,0.0
3463.0,SOCIALMEDIA,1.0
5226.0,SOCIALMEDIA,0.0
15209.0,DATASILVER,1.0
19885.0,SOCIALMEDIAGOLD,0.0
6297.0,DATACALL,1.0
10278.0,SOCIALMEDIA,1.0
15570.0,DATACALL,0.0
13571.0,SOCIALMEDIAGOLD,1.0
1260.0,DATASILVER,1.0
16512.0,SOCIALMEDIA,1.0
5916.0,DATASILVER,1.0
17871.0,SOCIALMEDIA,1.0
8028.0,SOCIALMEDIAGOLD,0.0
7632.0,SOCIALMEDIA,1.0
6197.0,SOCIALMEDIA,1.0
19048.0,DATASILVER,1.0
10226.0,SOCIALMEDIAGOLD,1.0
16198.0,DATASILVER,1.0
18775.0,SOCIALMEDIAGOLD,1.0
11361.0,DATASILVER,1.0
2293.0,DATASILVER,1.0
8242.0,DATASILVER,1.0
14796.0,DATASILVER,1.0
9034.0,DATACALL,0.0
1287.0,SOCIALMEDIA,0.0
7579.0,SOCIALMEDIA,1.0
4102.0,DATASILVER,1.0
9342.0,SOCIALMEDIAGOLD,1.0
11504.0,DATACALL,1.0
9807.0,DATAGOLD,0.0
9126.0,DATACALL,1.0
15735.0,DATAGOLD,1.0
16335.0,DATASILVER,0.0
11037.0,DATASILVER,1.0
4230.0,SOCIALMEDIA,1.0
1685.0,SOCIALMEDIAGOLD,1.0
9490.0,SOCIALMEDIA,1.0
9149.0,SOCIALMEDIA,0.0
18194.0,SOCIALMEDIA,1.0
1979.0,DATASILVER,1.0
17700.0,SOCIALMEDIA,1.0
13156.0,DATASILVER,1.0
8254.0,SOCIALMEDIA,1.0
3055.0,SOCIALMEDIAGOLD,1.0
14227.0,SOCIALMEDIA,1.0
3000.0,DATACALL,1.0
19189.0,DATAGOLD,1.0
9388.0,SOCIALMEDIAGOLD,1.0
19299.0,DATASILVER,1.0
4011.0,DATASILVER,1.0
1823.0,SOCIALMEDIAGOLD,1.0
8284.0,DATASILVER,1.0
16630.0,DATASILVER,0.0
3192.0,SOCIALMEDIAGOLD,0.0
14639.0,DATACALL,0.0
1559.0,DATAGOLD,1.0
3653.0,SOCIALMEDIAGOLD,1.0
8690.0,DATASILVER,0.0
18414.0,DATASILVER,1.0
9656.0,SOCIALMEDIA,0.0
11403.0,SOCIALMEDIAGOLD,0.0
16059.0,SOCIALMEDIA,1.0
5081.0,SOCIALMEDIA,1.0
10995.0,DATASILVER,1.0
7332.0,SOCIALMEDIAGOLD,1.0
11565.0,SOCIALMEDIA,1.0
9605.0,DATAGOLD,1.0
12914.0,SOCIALMEDIA,0.0
5290.0,DATASILVER,1.0
4651.0,DATACALL,0.0
19626.0,DATACALL,1.0
11374.0,DATAGOLD,1.0
13274.0,SOCIALMEDIA,1.0
12837.0,DATACALL,1.0
11981.0,DATASILVER,1.0
8547.0,SOCIALMEDIA,1.0
